subject, condition, nAverages, accuracy, nCorrect, nCued
S4, hybrid-15Hz, 10, 88.89, 64, 72
S4, hybrid-8-57Hz, 1, 68.06, 49, 72
S4, hybrid-8-57Hz, 2, 75.00, 54, 72
S4, hybrid-8-57Hz, 3, 83.33, 60, 72
S4, hybrid-8-57Hz, 4, 83.33, 60, 72
S4, hybrid-8-57Hz, 5, 87.50, 63, 72
S4, hybrid-8-57Hz, 6, 93.06, 67, 72
S4, hybrid-8-57Hz, 7, 97.22, 70, 72
S4, hybrid-8-57Hz, 8, 94.44, 68, 72
S4, hybrid-8-57Hz, 9, 94.44, 68, 72
S4, hybrid-8-57Hz, 10, 95.83, 69, 72
S4, oddball, 1, 66.67, 48, 72
S4, oddball, 2, 70.83, 51, 72
S4, oddball, 3, 63.89, 46, 72
S4, oddball, 4, 75.00, 54, 72
S4, oddball, 5, 79.17, 57, 72
S4, oddball, 6, 87.50, 63, 72
S4, oddball, 7, 84.72, 61, 72
S4, oddball, 8, 83.33, 60, 72
S4, oddball, 9, 88.89, 64, 72
S4, oddball, 10, 86.11, 62, 72
S5, hybrid-10Hz, 1, 56.94, 41, 72
S5, hybrid-10Hz, 2, 56.94, 41, 72
S5, hybrid-10Hz, 3, 72.22, 52, 72
S5, hybrid-10Hz, 4, 79.17, 57, 72
S5, hybrid-10Hz, 5, 77.78, 56, 72
S5, hybrid-10Hz, 6, 81.94, 59, 72
S5, hybrid-10Hz, 7, 84.72, 61, 72
S5, hybrid-10Hz, 8, 84.72, 61, 72
S5, hybrid-10Hz, 9, 87.50, 63, 72
S5, hybrid-10Hz, 10, 91.67, 66, 72
S5, hybrid-12Hz, 1, 66.67, 48, 72
S5, hybrid-12Hz, 2, 56.94, 41, 72
S5, hybrid-12Hz, 3, 76.39, 55, 72
S5, hybrid-12Hz, 4, 87.50, 63, 72
S5, hybrid-12Hz, 5, 84.72, 61, 72
S5, hybrid-12Hz, 6, 91.67, 66, 72
S5, hybrid-12Hz, 7, 88.89, 64, 72
S5, hybrid-12Hz, 8, 95.83, 69, 72
S5, hybrid-12Hz, 9, 97.22, 70, 72
S5, hybrid-12Hz, 10, 97.22, 70, 72
S5, hybrid-15Hz, 1, 59.72, 43, 72
S5, hybrid-15Hz, 2, 69.44, 50, 72
S5, hybrid-15Hz, 3, 77.78, 56, 72
S5, hybrid-15Hz, 4, 77.78, 56, 72
S5, hybrid-15Hz, 5, 76.39, 55, 72
S5, hybrid-15Hz, 6, 83.33, 60, 72
S5, hybrid-15Hz, 7, 87.50, 63, 72
S5, hybrid-15Hz, 8, 87.50, 63, 72
S5, hybrid-15Hz, 9, 84.72, 61, 72
S5, hybrid-15Hz, 10, 87.50, 63, 72
S5, hybrid-8-57Hz, 1, 72.22, 52, 72
S5, hybrid-8-57Hz, 2, 69.44, 50, 72
S5, hybrid-8-57Hz, 3, 83.33, 60, 72
S5, hybrid-8-57Hz, 4, 91.67, 66, 72
S5, hybrid-8-57Hz, 5, 91.67, 66, 72
