subjectR,conditionR,stimStyle,frequency,channelR,runR,fftValue
S1,hybrid-12Hz,hybrid,12,Fz,6,0.211870121919313
S1,hybrid-12Hz,hybrid,12,Fz,7,0.946830248536755
S1,hybrid-12Hz,hybrid,12,Fz,8,0.578240084943752
S1,hybrid-12Hz,hybrid,12,Fz,9,0.341101170254286
S1,hybrid-12Hz,hybrid,12,Fz,10,1.16395802655047
S1,hybrid-12Hz,hybrid,12,Fz,11,0.467958027156663
S1,hybrid-12Hz,hybrid,12,Fz,12,1.22629670161967
S1,hybrid-12Hz,hybrid,12,Fz,13,0.501294003015262
S1,hybrid-12Hz,hybrid,12,Fz,14,1.11635779284659
S1,hybrid-12Hz,hybrid,12,Fz,15,0.782803271034178
S1,hybrid-12Hz,hybrid,12,Fz,16,0.845077224568096
S1,hybrid-12Hz,hybrid,12,Fz,17,0.370758091513335
S1,hybrid-12Hz,hybrid,12,Fz,18,1.32361401845622
S1,hybrid-12Hz,hybrid,12,Fz,19,0.63153393312531
S1,hybrid-12Hz,hybrid,12,Fz,20,0.642540727989576
S1,hybrid-12Hz,hybrid,12,Fz,21,0.6646955446454
S1,hybrid-12Hz,hybrid,12,Fz,22,0.495369843534096
S1,hybrid-12Hz,hybrid,12,Fz,23,1.25955714187675
S1,hybrid-12Hz,hybrid,12,Fz,24,0.517774758496723
S1,hybrid-12Hz,hybrid,12,Fz,25,0.691134484147007
S1,hybrid-12Hz,hybrid,12,Fz,26,1.45994253900711
S1,hybrid-12Hz,hybrid,12,Fz,27,0.260303419516791
S1,hybrid-12Hz,hybrid,12,Fz,28,0.486247323877816
S1,hybrid-12Hz,hybrid,12,Fz,29,0.826796126841487
S1,hybrid-12Hz,hybrid,12,Fz,30,1.19007739665717
S1,hybrid-12Hz,hybrid,12,Fz,31,0.271799510456073
S1,hybrid-12Hz,hybrid,12,Fz,32,0.0952207833070893
S1,hybrid-12Hz,hybrid,12,Fz,33,0.737560505011147
S1,hybrid-12Hz,hybrid,12,Fz,34,0.786924205750849
